time, gps_lat, gps_long, ph, turbidity, temp, tds
0.000000, 50.039463, 34.920775, 7.129574, 1.171387, 75.461906, 75.491507
1.000000, 50.079326, 35.070329, 7.422241, 0.562771, 74.948264, 75.110566
2.000000, 50.128728, 35.062472, 7.132992, 1.125062, 75.302583, 75.225206
3.000000, 50.060890, 35.133046, 7.045571, 0.264090, 74.767096, 74.691880
4.000000, 50.198258, 35.157068, 6.790356, 1.013666, 74.965164, 74.510232
5.000000, 50.219153, 35.180731, 6.679388, 0.513552, 75.021753, 74.709652
6.000000, 50.384116, 35.279579, 7.204216, 0.598260, 74.879562, 75.105388
7.000000, 50.329181, 35.255587, 7.244598, 1.026781, 74.774993, 75.273916
8.000000, 50.344828, 35.370581, 6.588257, 0.432729, 75.457813, 75.134560
9.000000, 50.427967, 35.450371, 6.728383, 0.675377, 75.244053, 75.081135
10.000000, 50.552267, 35.570900, 6.834401, 1.006186, 74.609609, 74.970199
11.000000, 50.522268, 35.476813, 6.961591, 1.079698, 75.054478, 75.264883
12.000000, 50.582116, 35.526644, 6.615178, 0.766431, 74.849415, 74.658817
13.000000, 50.634127, 35.692211, 7.316069, 0.529576, 75.228640, 75.076335
14.000000, 50.777212, 35.760174, 6.878106, 0.345755, 75.479948, 74.714556
15.000000, 50.662839, 35.831492, 7.035996, 1.020093, 75.353891, 75.301111
16.000000, 50.814994, 35.849552, 7.443927, 0.322275, 74.678182, 75.248457
17.000000, 50.912233, 35.947011, 6.660151, 0.605823, 75.278624, 75.225350
18.000000, 50.939422, 35.963923, 6.597833, 1.173777, 75.006046, 74.954746
19.000000, 50.984373, 35.945113, 6.729462, 0.278238, 74.971414, 74.703169
20.000000, 51.070734, 36.092443, 6.814129, 0.722273, 75.058607, 74.726477
21.000000, 51.019309, 36.018391, 7.414003, 0.826003, 74.512487, 74.845205
22.000000, 51.013424, 36.109769, 7.315951, 0.695754, 74.707218, 74.853071
23.000000, 51.208297, 36.169270, 7.080109, 0.366581, 75.128495, 75.163477
24.000000, 51.206957, 36.283200, 7.479997, 0.999785, 74.711985, 75.148074
25.000000, 51.229988, 36.313286, 7.441557, 0.349048, 74.613750, 75.046892
26.000000, 51.289206, 36.214299, 7.397286, 0.899015, 75.462770, 74.653977
27.000000, 51.288882, 36.276294, 7.134945, 0.314074, 75.118190, 74.646017
28.000000, 51.431178, 36.475093, 7.229072, 1.212528, 74.758293, 75.142111
29.000000, 51.469554, 36.365309, 6.812848, 1.099207, 74.845626, 74.851988
30.000000, 51.577528, 36.568726, 6.630260, 0.336448, 75.314674, 75.267113
31.000000, 51.462546, 36.605803, 6.907914, 0.836454, 75.025841, 75.401635
32.000000, 51.656915, 36.662586, 6.739044, 0.696717, 75.423670, 75.342216
33.000000, 51.592077, 36.600287, 6.627940, 0.706654, 74.885216, 75.254878
34.000000, 51.785047, 36.651197, 7.091315, 0.424315, 74.763725, 75.093983
35.000000, 51.764323, 36.751332, 7.494802, 0.655359, 75.206089, 75.139867
36.000000, 51.871675, 36.720518, 7.023905, 0.630495, 75.132542, 75.395708
37.000000, 51.780858, 36.845576, 7.036752, 0.941367, 75.107303, 74.780771
38.000000, 51.963171, 36.960727, 7.410599, 1.056357, 74.575748, 75.250046
39.000000, 52.019205, 36.851085, 6.944037, 0.988957, 74.751899, 74.709403
40.000000, 51.996609, 36.958561, 7.154181, 0.386911, 75.280528, 74.711694
41.000000, 52.118911, 37.088142, 7.484706, 0.640416, 74.947157, 75.438137
42.000000, 52.018436, 37.046510, 7.149901, 0.685435, 75.238080, 75.345344
43.000000, 52.092454, 37.171948, 6.559679, 1.141790, 74.841634, 75.133059
44.000000, 52.183570, 37.245899, 6.744626, 0.567703, 74.927964, 74.780775
45.000000, 52.322816, 37.340866, 6.756332, 0.415728, 75.337315, 74.902991
46.000000, 52.284676, 37.280352, 7.422120, 0.362118, 75.058245, 75.033044
47.000000, 52.257217, 37.273749, 7.191592, 1.075267, 75.027642, 75.407626
48.000000, 52.464527, 37.486139, 7.214728, 0.757175, 75.223525, 75.305071
49.000000, 52.367508, 37.365490, 6.890260, 0.798338, 74.555429, 75.117264
